driver_id,applicant_fountain_id,pu_ca,predicted_driver_ca,no_packages
405706,e2b87979-da8c-4317-a6cb-ce4cc699fa92,London Outer S,,2298
405653,f5f87ad8-f66c-4e43-b184-32df59cfa71c,London Border N,,36
469579,db82f167-d118-4a4a-998c-25a5a7f1bd55,London Outer N,London Inner S,100
407744,6390ff81-c397-45dc-a87d-8b7019c5cc5b,London Inner E,London - Central South,55
466379,b28726d2-b9ba-410d-bc8c-4bfacbe522aa,London Outer SE,London Outer SE,222
406004,1c3776d7-1a0a-4c33-b109-02391a70f28a,London Outer S,,1
469683,3be182c5-62b1-4118-b5bb-b02bf4cdbb3c,London Border E,London Border E,109
412683,4205f804-6aa7-4b12-ac72-1e67c104b546,London Outer SE,,823
435232,775d4d73-e7c6-43be-90e0-f4776f0a284d,London Outer S,,98
462738,1f8ccf6e-1132-4597-9412-6f1ca04f63c0,London Outer E,London Outer E,219
471883,114302ac-d379-484a-adb0-7775f2036c11,,Manchester City,1
468780,5a046062-9dd7-4978-a5cd-4ba178da057d,,Manchester City,1
374298,1808fb0a-bd91-4c85-b367-2f24183760d0,London Inner W,,55
413682,f2b99071-8162-4dea-b20a-4001252b57cf,London Outer S,,1030
407646,bf32f6ac-8db8-413e-9c9d-2c2d235b58ec,London Outer N,,490
425681,46ad35d5-13ee-4d2d-8dbf-3484ff139a4e,UNKNOWN,,766
463420,28b3fe92-4e04-4ef5-aef3-58f8623ca465,Manchester City,Manchester City,718
454784,41e94fd7-8016-4edc-8c63-c8117c272fe0,Manchester City,Manchester City,486
412696,2678961c-ccf5-4c53-9fb1-44117a82fa42,Darlington,,308
411272,25ce38f6-46eb-46eb-98c1-0f87d2368c61,London Inner Lower NW,London Outer Upper NW,17
473655,74706f18-7022-489d-a99c-a9c40e87b076,London Outer S,London Outer S,59
406322,d16f2230-1ca4-4dba-ac1f-02a09ed13155,London Inner Lower NW,,194
458697,03bdc998-55c0-4401-ada5-1f1d6a36b76d,Nottingham Central,,220
462702,742103ce-9daf-4fe4-9087-e63452319a82,London Outer SW,London Outer SW,195
454439,4ba87b47-d513-410c-bf3b-0ef1aa1b6776,Altrincham,Stockport,9
411043,101686ce-1598-4e5d-b7f4-0802a8948fd1,London Border E,,1376
447034,9ad7dc22-5526-4e52-a5cb-4e53ca262039,Basildon,Basildon,733
347744,1152d80d-aef6-4d78-9edc-b21ea226289f,London Outer NE,London Border NE,149
466189,23edf50b-7e86-48dc-be47-9c88eef89371,London Border NE,London Border NE,329
427022,12552cd7-df21-4935-bec9-6d243dd2ac70,Nottingham Central,,275
399888,e1759725-3a4e-4074-9713-799a27a6b326,Derby,,466
402645,915cfd7c-1c87-4804-be7e-037407a2739e,London Inner N,,153
347028,f2861242-cf5e-4a6b-9929-4970fa78aed6,Milton Keynes,,536
390883,e36098b3-7a6f-4fbc-8823-f464d3329f98,Derby,,1355
400071,536b1a4e-0f59-4c0d-a977-a4665a82e26e,London Outer SW,,205
467742,c2afe005-219e-4b91-a559-12fe44b7ef51,Sunderland,Sunderland,434
426894,afcf76df-c8fd-4d2c-b6e1-ef4ea023ed95,Newcastle,,244
344094,0c664bfa-2386-4f6e-aec3-c3da5dc18c39,London Outer NE,,265
416389,116b8b2a-5bf0-4263-add7-e21347cbf278,Walsall,,3559
407552,b2e5fef6-61c7-4dd6-b691-86809fbd1dc1,Hull,,724
367777,13799d12-9ca8-4657-b5f3-8453692c4d8b,London Border N,,48
393295,04a19b42-b460-4810-9824-65e21eca5be1,London Inner N,,693
402396,77a2bf7f-41d7-4166-8358-0c43cfcc4172,London Inner E,,55
385252,e72a5a00-9641-43a1-a897-13f6ef05d34d,London Outer N,,29
398658,a34df259-37e8-44d9-a950-ca95c4d77734,London Outer Upper NW,London Outer Upper NW,400
391464,13fc9454-47b5-4a92-8bcd-12135e2a74c6,Widnes,,842
411292,650d72cd-67af-4c9c-b7ba-26c738b6a458,Stockport,,175
469583,97c63e4d-0ba3-47cd-ba0e-9600ed2639aa,London Inner S,London Inner S,86
409119,fb1cb2d6-990f-4f05-9ee6-18e46b4e4a36,London Outer NE,,17
469734,12def539-ecf0-40ca-97f3-0b96ce0701b0,London Border NE,London Border NE,321
399766,67f5dff3-4382-466e-ac54-c191c0a9397f,London Inner E,,245
362600,6840f0d0-42a8-4185-9077-e95ec7d6eaa2,London Outer E,,198
469855,cd393d39-3e5f-4bea-8d3f-fa33bab9ca52,Swansea,Swansea,257
402307,9700e5e7-612e-4534-9345-ad3466970b94,Manchester East,,252
373687,951cc2c6-9051-4d12-9346-c8ab4101993d,Middleton,,22
402261,c574466e-7a09-4b01-adb4-d8ba83ffdc10,London Outer SW,London Inner S,300
395681,e5a83751-cddb-4679-9656-ff56edf9c4df,London Inner E,,62
473336,2ad7f451-9f18-4255-87b7-fc95a0f007de,London Outer S,London Outer S,3
431777,9ffafd69-5209-4fda-b866-ec675a546311,Sunderland,,139
428414,3ebb8ec1-aed9-494d-aa58-46a94285e0fe,London Inner N,,292
465790,f058cbeb-84ae-4d8f-aa31-9f6ec2047283,Bournemouth,Bournemouth,581
420354,fba9c052-b4b1-438e-bafe-a55601c30535,London Outer NE,,1234
429147,ca6fe6c0-8bd1-4908-a35a-2f0bee119606,Bristol - Filton and Patchway,,229
466034,c0e8a188-49e0-4be0-a037-4bb962a4d8cc,London Outer S,London Inner S,97
469571,a45de067-0397-4b7c-9e24-ed64fd3a0445,London Inner S,London Inner S,150
414323,73b5437b-674b-4968-bd30-96854ce6f42c,London Inner S,,1906
409238,e223ed7a-2ede-4baa-8bee-b8b6e823c1c8,London Outer Upper NW,London Border N,580
342134,098f9805-e659-46b3-b9b4-0472b0d483f1,Bristol - Filton and Patchway,,566
350581,9d2cce7c-9f32-4668-94f5-7181c7abae6d,London Border E,,991
370570,625e3fae-a1c6-4f50-b6ab-cabde8adfd17,London Outer NE,,251
446106,6ceb8953-5379-4ed0-953f-e59e27e4e1a4,Leeds City,Leeds East,218
406330,282f8e37-4421-4d90-becc-1afa00ec1485,London Outer S,,872
373446,edb88e39-e5c8-4737-a9be-95371b1defd6,Manchester City,,3305
400184,142688f0-c51f-4401-b81d-406d3c80e5d3,Cardiff,Cardiff,215
361958,377d1d12-3b77-4ce4-9211-2d65fdb70f23,Nottingham North,,2554
388354,8b770c46-230c-4c2c-92af-8d1c7cb005d8,London Outer Upper NW,,2498
401733,5b1bed54-de39-42d7-9c4a-a5259c90bd13,London Inner Lower NW,,130
